trg_validate_coaching_tip	UPDATE	marketing_coaching_tips	BEFORE	EXECUTE FUNCTION validate_coaching_tip()
trg_validate_coaching_tip	INSERT	marketing_coaching_tips	BEFORE	EXECUTE FUNCTION validate_coaching_tip()
update_marketing_contact_preferences_updated_at	UPDATE	marketing_contact_preferences	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_marketing_content_series_updated_at	UPDATE	marketing_content_series	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_popup_schedule	INSERT	marketing_popup_config	BEFORE	EXECUTE FUNCTION validate_popup_schedule()
trg_validate_popup_schedule	UPDATE	marketing_popup_config	BEFORE	EXECUTE FUNCTION validate_popup_schedule()
trg_validate_popup_suggestion	INSERT	marketing_popup_suggestions	BEFORE	EXECUTE FUNCTION validate_popup_suggestion()
trg_validate_popup_suggestion	UPDATE	marketing_popup_suggestions	BEFORE	EXECUTE FUNCTION validate_popup_suggestion()
trg_validate_marketing_review	INSERT	marketing_reviews	BEFORE	EXECUTE FUNCTION validate_marketing_review()
trg_validate_marketing_review	UPDATE	marketing_reviews	BEFORE	EXECUTE FUNCTION validate_marketing_review()
update_marketing_reviews_updated_at	UPDATE	marketing_reviews	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_marketing_segments_updated_at	UPDATE	marketing_segments	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_social_accounts_updated_at	UPDATE	marketing_social_accounts	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_marketing_templates_updated_at	UPDATE	marketing_templates	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_medewerkers_updated_at	UPDATE	medewerkers	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_auto_deplete	INSERT	mep_task_completions	AFTER	EXECUTE FUNCTION auto_deplete_ingredients()
trg_mep_tasks_updated_at	UPDATE	mep_tasks	BEFORE	EXECUTE FUNCTION update_mep_tasks_updated_at()
trg_validate_mep_tasks	UPDATE	mep_tasks	BEFORE	EXECUTE FUNCTION validate_mep_tasks()
trg_validate_mep_tasks	INSERT	mep_tasks	BEFORE	EXECUTE FUNCTION validate_mep_tasks()
set_updated_at_message_templates	UPDATE	message_templates	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_message_template	INSERT	message_templates	BEFORE	EXECUTE FUNCTION validate_message_template()
trg_validate_message_template	UPDATE	message_templates	BEFORE	EXECUTE FUNCTION validate_message_template()
trg_validate_message	UPDATE	messages	BEFORE	EXECUTE FUNCTION validate_message()
trg_validate_message	INSERT	messages	BEFORE	EXECUTE FUNCTION validate_message()
set_updated_at_messaging_config	UPDATE	messaging_config	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_ob_tasks_updated_at	UPDATE	ob_tasks	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_generate_initial_onboarding_tasks	INSERT	onboarding_candidates	AFTER	EXECUTE FUNCTION generate_initial_onboarding_tasks()
trg_notify_agent_candidate_created	INSERT	onboarding_candidates	AFTER	EXECUTE FUNCTION notify_onboarding_agent()
trg_notify_agent_candidate_updated	UPDATE	onboarding_candidates	AFTER	EXECUTE FUNCTION notify_onboarding_agent()
update_onboarding_candidates_updated_at	UPDATE	onboarding_candidates	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_onboarding_phases_updated_at	UPDATE	onboarding_phases	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_onboarding_settings_updated_at	UPDATE	onboarding_settings	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_organizations_updated_at	UPDATE	organizations	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_policy_sets_updated_at	UPDATE	policy_sets	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_printer_configuraties_updated_at	UPDATE	printer_configuraties	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_profiles_updated_at	UPDATE	profiles	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_pas_updated_at	UPDATE	public_application_settings	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_recept_allergenen	INSERT	recept_allergenen	BEFORE	EXECUTE FUNCTION validate_recept_allergenen_status()
